Date,Name,Year,Letterboxd URI,Rating
2025-01-20,Tall Girl,2019,https://boxd.it/n9yG,1
2025-01-20,50 First Dates,2004,https://boxd.it/285c,3
2025-01-20,Yesterday,2019,https://boxd.it/iF7M,3
2025-01-20,School of Rock,2003,https://boxd.it/28xK,3.5
2025-01-20,Spider-Man 2,2004,https://boxd.it/2a88,4
2025-01-20,The Butterfly Effect,2004,https://boxd.it/27M0,3.5
2025-01-20,Dark Shadows,2012,https://boxd.it/bQ2,2
2025-01-20,Apollo 13,1995,https://boxd.it/2a6G,4
2025-01-20,Friends with Money,2006,https://boxd.it/1ZpC,1.5
2025-01-20,El Potro: Unstoppable,2018,https://boxd.it/kaYE,3
2025-01-20,300,2006,https://boxd.it/28XI,4
2025-01-20,Stuck Together,2021,https://boxd.it/txq4,1.5
2025-01-20,Always Be My Maybe,2019,https://boxd.it/iB2y,1
2025-01-20,The Kissing Booth,2018,https://boxd.it/geR0,2.5
2025-01-20,The Kissing Booth 2,2020,https://boxd.it/lrky,1.5
2025-01-20,The Kissing Booth 3,2021,https://boxd.it/rhOA,2
2025-01-20,Blind Date,2015,https://boxd.it/b3uO,2
2025-01-20,Bad Seeds,2018,https://boxd.it/hYzo,2.5
2025-01-20,Unbroken,2014,https://boxd.it/6IaA,3
2025-01-20,Sarajevo,2014,https://boxd.it/84Dw,3.5
2025-01-20,Road Trip,2000,https://boxd.it/1Z4a,2.5
2025-01-20,Johnny English Strikes Again,2018,https://boxd.it/gzGW,1.5
2025-01-20,The Bounty Hunter,2010,https://boxd.it/1rtU,1.5
2025-01-20,Nothing to Hide,2018,https://boxd.it/hxUa,1
2025-01-20,300: Rise of an Empire,2014,https://boxd.it/xaC,4
2025-01-20,Underdogs,2013,https://boxd.it/4Pck,3
2025-01-20,War Dogs,2016,https://boxd.it/9SlO,2.5
2025-01-20,The Founder,2016,https://boxd.it/9XwM,3.5
2025-01-20,Swiped,2018,https://boxd.it/juNE,1
2025-01-20,Cast Away,2000,https://boxd.it/20i8,5
2025-01-20,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2025-01-20,Iron Man,2008,https://boxd.it/28dA,4
2025-01-20,Along Came Polly,2004,https://boxd.it/22fU,3
2025-01-20,Scarface,1983,https://boxd.it/2b7g,4.5
2025-01-20,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2025-01-20,Don't Look Up,2021,https://boxd.it/o0Hc,2
2025-01-21,Big,1988,https://boxd.it/271S,3
2025-01-23,Shutter Island,2010,https://boxd.it/1U82,4
2025-01-23,The Break-Up,2006,https://boxd.it/1XRk,3.5
2025-01-23,Tall Girl 2,2022,https://boxd.it/t2bi,1
2025-01-23,Meet Joe Black,1998,https://boxd.it/2aEI,4
2025-01-25,Stand by Me,1986,https://boxd.it/2aOe,2.5
2025-01-26,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,2
2025-01-26,Thor: Love and Thunder,2022,https://boxd.it/mMAY,1
2025-01-26,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2025-01-27,All Quiet on the Western Front,2022,https://boxd.it/H08,4
2025-02-01,Scent of a Woman,1992,https://boxd.it/1YAu,4
2025-02-02,Wild Tales,2014,https://boxd.it/7UmK,4
2025-02-02,Taxi Driver,1976,https://boxd.it/2b8y,3
2025-02-02,Memento,2000,https://boxd.it/2bcK,2.5
2025-02-03,Nine Queens,2000,https://boxd.it/1HBA,4
2025-02-04,Oppenheimer,2023,https://boxd.it/wUow,3
2025-02-06,The Green Mile,1999,https://boxd.it/2agG,4.5
2025-02-08,City of God,2002,https://boxd.it/2a2a,3.5
