Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-20,Back to the Future Part III,1990,https://boxd.it/8xpfHZ,3.5,Yes,,2024-07-13
2025-01-20,Titanic,1997,https://boxd.it/8xqfcf,4,Yes,,2024-07-20
2025-01-20,Get Out,2017,https://boxd.it/8xqe53,4,,,2024-08-07
2025-01-20,EuroTrip,2004,https://boxd.it/8xqcdf,3,Yes,,2024-08-12
2025-01-20,Forrest Gump,1994,https://boxd.it/8xpmzt,4.5,Yes,,2024-10-17
2025-01-20,About Time,2013,https://boxd.it/8xpz5B,4,Yes,,2024-11-07
2025-01-20,The Truman Show,1998,https://boxd.it/8xpgyT,4,Yes,,2024-12-01
2025-01-16,Pulp Fiction,1994,https://boxd.it/8uC7NJ,3.5,Yes,,2024-12-09
2025-01-16,Interstellar,2014,https://boxd.it/8uBXyp,3.5,,,2024-12-16
2025-01-16,Inglourious Basterds,2009,https://boxd.it/8uC6Lx,4,Yes,,2024-12-16
2025-01-20,Captain America: The First Avenger,2011,https://boxd.it/8xpBR3,3.5,Yes,,2024-12-23
2025-01-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/8xpwmJ,3,Yes,,2025-01-07
2025-01-16,Se7en,1995,https://boxd.it/8uC4nt,3.5,,,2025-01-09
2025-01-20,Dead Poets Society,1989,https://boxd.it/8xqwOv,4.5,Yes,,2025-01-09
2025-01-20,American Wedding,2003,https://boxd.it/8xquqh,2.5,Yes,,2025-01-10
2025-01-16,Love Actually,2003,https://boxd.it/8uC8uN,2.5,,,2025-01-11
2025-01-20,The Perfect Date,2019,https://boxd.it/8xq2W5,2.5,Yes,,2025-01-12
2025-01-16,The Whale,2022,https://boxd.it/8uC9q3,3,,,2025-01-13
2025-01-20,The Boss: Anatomy of a Crime,2014,https://boxd.it/8xq0Oj,3.5,Yes,,2025-01-13
2025-01-16,The Two Popes,2019,https://boxd.it/8uBYeP,3,,,2025-01-14
2025-01-21,The Godfather,1972,https://boxd.it/8yONTT,5,,,2025-01-21
2025-01-22,Memento,2000,https://boxd.it/8zaGf7,3,,,2025-01-21
2025-01-23,The Godfather Part II,1974,https://boxd.it/8A3KUj,4.5,,,2025-01-22
2025-01-25,Stand by Me,1986,https://boxd.it/8B4ia9,2.5,,,2025-01-24
2025-01-27,All Quiet on the Western Front,2022,https://boxd.it/8Dq6EN,4,,,2025-01-27
2025-01-31,Django Unchained,2012,https://boxd.it/8FGbXF,4,,,2025-01-30
2025-02-01,Scent of a Woman,1992,https://boxd.it/8GsWWP,4,,,2025-01-31
2025-02-02,Wild Tales,2014,https://boxd.it/8H4x4p,4,,,2025-02-01
2025-02-02,Taxi Driver,1976,https://boxd.it/8HqevZ,3,,,2025-02-01
2025-02-03,Nine Queens,2000,https://boxd.it/8HVfX3,4,,,2025-02-02
2025-02-04,Oppenheimer,2023,https://boxd.it/8ILhPz,3,,,2025-02-03
2025-02-06,The Green Mile,1999,https://boxd.it/8JZCIh,4.5,,,2025-02-05
2025-02-08,City of God,2002,https://boxd.it/8LkXYV,3.5,,,2025-02-07
2025-02-20,Marriage Story,2019,https://boxd.it/8Trywj,4,,,2025-02-18
2025-02-20,Philadelphia,1993,https://boxd.it/8TrAxj,4,,,2025-02-19
2025-02-21,Gladiator,2000,https://boxd.it/8TUf5r,4,,,2025-02-20
2025-02-22,Chinese Take-Away,2011,https://boxd.it/8UvUAJ,3,,,2025-02-21
2025-02-24,Son of the Bride,2001,https://boxd.it/8W12xf,3,,,2025-02-23
2025-02-24,A Beautiful Mind,2001,https://boxd.it/8WgkJN,4.5,,,2025-02-23
2025-02-27,GoodFellas,1990,https://boxd.it/8XJwmX,4,,,2025-02-26
2025-02-27,The Irishman,2019,https://boxd.it/8XW9jn,3.5,,,2025-02-26
2025-02-28,The Imitation Game,2014,https://boxd.it/8YpfcP,4,,,2025-02-27
2025-03-01,The Terminal,2004,https://boxd.it/8YM4ld,4.5,,,2025-02-28
2025-03-02,Life Is Beautiful,1997,https://boxd.it/8ZHs0R,3,,,2025-03-01
2025-03-04,The Graduate,1967,https://boxd.it/912As1,2.5,,,2025-03-03
2025-03-04,No Country for Old Men,2007,https://boxd.it/918dWf,3,,,2025-03-03
2025-03-18,Zodiac,2007,https://boxd.it/99GWfb,2,Yes,,2025-03-04
2025-03-13,Conclave,2024,https://boxd.it/96T6RL,3,,,2025-03-12
2025-03-17,The Matrix,1999,https://boxd.it/999CGb,3,,,2025-03-16
2025-03-19,Black Swan,2010,https://boxd.it/9atNzp,2,,,2025-03-18
2025-03-20,The Revenant,2015,https://boxd.it/9aVuIj,3.5,,,2025-03-19
2025-03-25,Maestro,2023,https://boxd.it/9dJ4QJ,3,,,2025-03-24
2025-03-27,The Secret in Their Eyes,2009,https://boxd.it/9eKuXd,4.5,,,2025-03-26
2025-03-27,The Silence of the Lambs,1991,https://boxd.it/9eYdRl,3.5,,,2025-03-26
2025-03-30,There Will Be Blood,2007,https://boxd.it/9gLS8N,4,,,2025-03-30
