Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-02-20,Philadelphia,1993,https://boxd.it/8TrAxj,4,,me re conmovió y está buena me hizo entender bastante más de las procesiones legales en usa,,2025-02-19
2025-02-21,Gladiator,2000,https://boxd.it/8TUf5r,4,,muy buena,,2025-02-20
2025-02-22,Chinese Take-Away,2011,https://boxd.it/8UvUAJ,3,,estaba por ir al gimnasio y en cambio me vi otra joyita de este chad. un cago de risa,,2025-02-21
2025-02-24,Son of the Bride,2001,https://boxd.it/8W12xf,3,,pobre darín siempre le pasa de todo. medio mid la peli pero hace gracia,,2025-02-23
2025-02-24,A Beautiful Mind,2001,https://boxd.it/8WgkJN,4.5,,los brazos de russell crowe para ser un profesor de matemática de la facultad son demasiado grandes y por eso no le doy las 5 estrellas. la historia es tan tremenda que hasta me hace pensar que yo puedo ser esquizofrénico.,,2025-02-23
2025-02-27,GoodFellas,1990,https://boxd.it/8XJwmX,4,,"me re enganché con las pelis de mafia. esta es clave, robert de niro es muy bueno como lo hace y joe pesci me da miedo.",,2025-02-26
2025-02-27,The Irishman,2019,https://boxd.it/8XW9jn,3.5,,"es como la continuación de goodfellas. scorsese es cine, pero esta vez se le estiró quizás demasiado. se cuenta una buena historia pero 3 horas y media me parece bastante",,2025-02-26
2025-02-28,The Imitation Game,2014,https://boxd.it/8YpfcP,4,,"la historia que se cuenta es emocionante, aunque no se ""pone buena"" hasta casi llegado el final, cuando finalmente se da la pregunta clave de la película. me gustó mucho y creo que resume muy bien toda la incertidumbre que generó la máquina enigma en la 2GM.",,2025-02-27
2025-03-01,The Terminal,2004,https://boxd.it/8YM4ld,4.5,,es increíble como una película cuyo protagonista nunca termina de armar frases complejas en inglés y no se le entiende lo que dice la mitad del tiempo le llegue tanto a uno. la mina me hizo perder la fe en la humanidad pero el final es tan lindo que casi me la restaura.,,2025-02-28
2025-03-02,Life Is Beautiful,1997,https://boxd.it/8ZHs0R,3,,los sacrificios que hace un padre para que su hijo no sufra y su amor llegue a quienes lo merecen son fielmente retratados. pero más allá de todo eso la película me pareció un poco básica,,2025-03-01
2025-03-04,The Graduate,1967,https://boxd.it/912As1,2.5,,"la historia de un flaco que se coge a la madre de la que después es su pareja. tan simple como eso, la película se queda ahí, y no hace nada más ni da ninguna otra vuelta. obviamente que en la época debe haber sido fuerte, pero no por eso me gusta más",,2025-03-03
2025-03-04,No Country for Old Men,2007,https://boxd.it/918dWf,3,,"la interpretación de anton chigurh, que es increíble, es lo único que puedo destacar de la película. lo demás es sólo una historia de un tipo que agarra un montón de plata y lo cagan a tiros",,2025-03-03
2025-03-13,Conclave,2024,https://boxd.it/96T6RL,3,,"un cardenal negro que tiene un hijo no reconocido. un cardenal que se postula al papado cuando fue destituido de su cargo. un papa conservador, otro liberal, y otro que ni ganas de papa tiene. y el remate, a sorpresa mía, que pensaba que el que no tenía ganas iba a terminar, terminan eligiendo como papa a un cardenal hermafrodita, aunque más que eso no tiene la peli. la escenografía es bastante buena y Ralph Fiennes es una máquina. pero ahí queda todo",,2025-03-12
2025-03-17,The Matrix,1999,https://boxd.it/999CGb,3,,me gusta pensar que el que escribió la historia tuvo un trip de salvia y tiro la de vivimos en una simulación,,2025-03-16
2025-03-18,Zodiac,2007,https://boxd.it/99GWfb,2,Yes,es tan mala que me sacó las ganas de ver otras películas por un tiempo,,2025-03-04
2025-03-19,Black Swan,2010,https://boxd.it/9atNzp,2,,muy de nena,,2025-03-18
2025-03-20,The Revenant,2015,https://boxd.it/9aVuIj,3.5,,"es increíble la cantidad de cosas que tuvo que hacer dicaprio para ganarse un oscar. vio cómo le mataban a la mujer, peleó con un oso que lo dejó casi inválido, en ese estado vio cómo le mataban al hijo, se cagó a tiros con todo el mundo, robó un caballo y se cayó de no sé cuántos metros, casi se muere de hambre un millón de veces, y tuvo una batalla épica con el malo de la peli. bien merecido.",,2025-03-19
2025-03-25,Maestro,2023,https://boxd.it/9dJ4QJ,3,,es cine pero media aburrida de a ratos. bradley Cooper esta goated,,2025-03-24
2025-03-27,The Secret in Their Eyes,2009,https://boxd.it/9eKuXd,4.5,,"me atrapaste, es cine",,2025-03-26
2025-03-30,There Will Be Blood,2007,https://boxd.it/9gLS8N,4,,daniel day lewis es buenisimo pero es un forro de mierda,,2025-03-30
